	T1	T2	T3	T4	T5
time	T1	T2	T3	T4	T5
cardopanel_1	-0.159046248024248	0.179868266128372	0.120134328769178	0.236037472464401	-0.0686690442502164
cardopanel_2	-0.31521711535536	-0.479863996413734	0.138217766123965	0.117225431005075	0.138311726594471
cardopanel_3	0.0391447609628471	-0.176281689760298	-0.173310677038901	-0.0100731478934942	-0.136170793543516
cardopanel_4	0.280107361398115	-0.127660316627297	-0.312836185742616	0.246889792672016	0.272596231657654
cardopanel_5	0.100144814218695	0.20537198831393	0.0157791562100908	0.0836206772831268	0.0741343512876611
cardopanel_6	-0.0890708658580271	0.00769996899623517	-0.0463124225971523	-0.154523588142166	-0.182316513696679
cardopanel_7	0.166817252350074	0.0831996829041731	-0.0475762623420065	-0.0232066570043714	-0.058238643875625
cardopanel_8	0.0299612852916248	-0.0302148661274757	-0.289842781965334	-0.173598905562446	-0.309134509428242
cardopanel_9	-0.127641686299942	0.0641253670140461	-0.0100710070361473	-0.738478387331575	-0.16925697064186
cardopanel_10	-0.0164645740194545	0.109440327173917	0.0993873316401378	-0.0757431962209263	-0.0577920529775232
cardopanel_11	-0.0688121629985101	0.0214161033173185	-0.2329680610673	-0.35481351020368	-0.3426741948451
cardopanel_12	0.0451695370513755	0.136911272773528	-0.0280757741708416	0.0493073295976467	-0.0124676416353069
cardopanel_13	-0.15873677967072	-0.326405343222103	-0.337363418326137	0.454733190386465	0.0588268948020291
cardopanel_14	-0.11133185423315	-0.093937079673245	-0.136506534400142	-0.520698764499087	-0.356946872548471
cytokine_1	0.126540967534072	-0.326545236526101	-0.13495052835867	-0.594382890620447	0.0498433476296385
cytokine_2	-0.0592206135458736	-0.0361437543773182	0.00549278383360205	-0.0977415208440759	0.0429849673986735
cytokine_3	-0.0523454997246458	-0.252096292244165	0.110834294987821	-0.0850471505217383	-0.0442967638415649
cytokine_4	0.0733450217182541	-0.340113650595079	-0.222473626063446	0.33302118227674	0.0657789520799364
cytokine_5	-0.129203050675683	-0.0927593642741587	-0.108972511882781	0.440741312127755	-0.0418536479140333
cytokine_6	-0.232942671121262	-0.0905682730043914	0.0158609321885599	-0.192713912250379	-0.164368430408093
cytokine_7	-0.176253452978654	-0.22586370904843	0.269963314535995	-0.0482360361418055	0.00994594457595148
cytokine_8	0.00901419896920962	0.0841261535655585	0.119446966718816	-0.0200228132199082	0.0405254886506569
cytokine_9	-0.203094055992696	-0.0991158664363651	-0.157797735291801	0.0346940677628015	0.0595533576873009
cytokine_10	-0.0455166162735326	0.356101795326195	-0.337713403035357	-0.094558889245896	-0.145622507055565
cytokine_11	-0.241888083354078	-0.180554436114917	-0.169373321157071	-0.0768928662401834	0.0116167949197464
cytokine_12	0.0811337197581204	-0.345851233058278	-0.445619438785757	0.235839480026101	0.0541178966590034
cytokine_13	-0.176047305420809	-0.0539720014906622	-0.252708320970363	-0.177535037370702	0.329157229480205
cytokine_14	-0.295561006405063	-0.317980922215188	0.192032528404123	-0.256418266126274	-0.253863985753923
cytokine_15	-0.138768575239513	-0.202204241502934	0.0638450042687282	-0.0220227150345912	0.0280904293396238
cytokine_16	-0.166908580084375	-0.134246588847087	0.210947586888276	-0.15367051521017	0.0735595623389071
cytokine_17	-0.212387468250333	-0.217179812017132	-0.192901661213509	-0.293346850751812	-0.101100429036688
cytokine_18	0.120570213443495	0.139916440661649	0.403451701632327	0.196548736228267	0.288748843129191
cytokine_19	-0.324262528323987	-0.329814885302381	-0.257227152448749	-0.370166250082586	-0.0637605792729983
cytokine_20	-0.278315099467793	-0.216679322978875	0.230578771954504	-0.151193456014699	-0.0315521000631798
cytokine_21	-0.0987175133890246	-0.191142751109958	-0.132792184159431	-0.0937864621791271	-0.148214520462996
cytokine_22	0.224953427662723	0.246395273547511	0.401489007368002	0.211173631875272	0.124715347603364
cytokine_23	-0.12242535599972	-0.100164087155326	0.081496637392241	-0.0831858092259795	0.204002233329405
cytokine_24	-0.0831508223782965	-0.0166105778796307	0.0606363343378326	0.115354967755541	0.201099296216396
cytokine_25	-0.11992223981454	-0.159235654601331	0.236650153658666	-0.0401314788046227	0.11417162359655
cytokine_26	-0.0388845552200421	-0.0295158486081014	0.0350634924681145	-0.140095718983689	0.157586352102243
cytokine_27	-0.100887431366368	0.079149561174742	-0.0940755464404431	0.00538046127192617	0.155023628340517
cytokine_28	0.243243669334186	0.0439525752577764	0.117461725616094	0.378578939946895	0.411398173442647
cytokine_29	-0.111725478851698	0.0654778025760654	-0.0620313712272542	0.0543243567631927	0.219461378363157
cytokine_30	-0.0895069496817967	-0.015928636546977	0.261839028602976	-0.0413890125494064	0.0195768493627688
cytokine_31	-0.114339313015421	-0.0213219069963438	-0.105933462497236	-0.0828891124856661	0.175333493192755
cytokine_32	-0.0782892178972449	-0.0913204292183633	0.0567735101265638	0.238975065174278	-0.0356239737654644
